,Unnamed: 0,date,weekend,driving,transit,walking,cases,deaths,boosters,tweets,driving_log,transit_log,walking_log,cases_log,deaths_log,boosters_log,tweets_log,walking_box_cox
48,48,2021-12-28,0.0,184.3504745011088,89.10305555555563,122.83404293381044,55137054,824841,72978045,113775.0,5.216838698591182,4.489793627441566,5.1546199847551515,17.82533253449388,13.622945919469803,18.105669200452628,11.641978092884843,204.13843175522052
49,49,2021-12-29,0.0,185.72209756097584,87.27315972222225,145.07178890876557,56155989,826491,73632216,159769.0,5.224251457299529,4.469042966801698,5.170993907294096,17.84364389419106,13.62494430689173,18.114593205320098,11.981484301004722,207.66251150917222
50,50,2021-12-30,0.0,195.87226164079792,88.22409722222221,149.4678711985687,57041895,828853,74401852,195682.0,5.27746272044214,4.479880136833686,5.215707704273084,17.859296555818606,13.627798096319225,18.124991391966628,12.18424617163737,217.59756335276327
51,51,2021-12-31,0.0,173.03085144124202,80.17059027777778,149.681556350626,57745959,830981,75194408,186612.0,5.1534699106288135,4.384156742853971,5.2635447922519765,17.871563930891906,13.630362209556946,18.13558742445297,12.136786874009339,228.75101274273052
52,52,2022-01-01,1.0,133.80717960088683,64.05513888888892,151.18330948121647,58505177,832953,76009916,166984.0,4.896399805453978,4.159744257581574,4.856475172761496,17.884625804013066,13.632732496988138,18.146374363423863,12.025653278425743,149.43746136744568
53,53,2022-01-02,1.0,145.1679290465632,71.6323958333333,165.60359570661888,59405224,835637,76922595,164822.0,4.977891203659403,4.2715474274121625,4.8108341998819935,17.899892726593784,13.635949587243834,18.15831021446525,12.012621382693455,142.46234730138434
54,54,2022-01-03,0.0,150.55742350332582,85.76885416666661,175.8551520572451,59851464,836327,77465922,138072.0,5.0143445629337755,4.451655935541129,4.977228715823547,17.90737645082197,13.636774963913634,18.165348681491057,11.835530567211238,169.57168856225337
55,55,2022-01-04,0.0,153.27405321507734,87.78788194444436,125.24212880143098,60166922,836728,77727160,124393.0,5.032227516595436,4.474923472259605,5.007081461363851,17.912633290827408,13.637254326525955,18.168715303809215,11.731201187607532,174.95163575515716
56,56,2022-01-05,0.0,148.59876274944557,87.32097222222224,154.93093023255818,61600899,838412,78396300,147606.0,5.001249806202197,4.469590665635132,5.0085100797647035,17.9361870225531,13.639264905423584,18.17728729032942,11.902301840728807,175.21330942202914
57,57,2022-01-06,0.0,148.48008869179614,85.40072916666664,154.39989266547414,62370827,841092,79090576,156025.0,5.000450866369313,4.447354639009439,5.018493070623345,17.948608207994326,13.642456326551116,18.186104285311412,11.957771529802244,177.05274514021488
58,58,2022-01-07,0.0,164.32314855875845,86.38131944444439,156.1823613595707,63251101,843823,79782071,155157.0,5.101834907138097,4.458771442299484,5.109596954919652,17.962623092535026,13.645698035944884,18.19480936299155,11.952192786486858,194.75221394798066
59,59,2022-01-08,1.0,164.06964079822586,82.6928124999999,162.22254025044717,64120516,846110,80459805,143372.0,5.10029097670414,4.415132687732755,5.169660656513248,17.97627493308435,13.648404653776682,18.203268300918474,11.873197930062803,207.37331183643565
60,60,2022-01-09,1.0,126.97544124168547,71.88805555555554,187.642182468694,65053765,849101,81268224,120123.0,4.843993691709311,4.275110125134588,4.830248894089463,17.990724639802846,13.651933421704344,18.21326564940829,11.69627149681037,145.38897982739692
61,61,2022-01-10,0.0,143.3363902439024,89.43041666666664,187.1086225402506,65476992,850099,81688088,89628.0,4.965194247075115,4.493460855484736,5.0429794062021305,17.99720937172114,13.653108092272563,18.21841874748654,11.403423050145067,181.6462614188214
62,62,2022-01-11,0.0,146.46354323725063,87.75979166666667,130.43590339892663,65814876,850509,81893013,86878.0,4.986776545865556,4.474603442065646,5.039545942418634,18.00235644977089,13.653590272772647,18.220924233828764,11.372260114644964,180.99508458939462
63,63,2022-01-12,0.0,147.30465631929025,89.3667361111111,140.8322003577817,66526927,851283,82304313,95806.0,4.992502934097885,4.492748533646733,5.051024307595008,18.01311734096243,13.654499902214281,18.225934070106483,11.470080592477911,183.18116663328476
64,64,2022-01-13,0.0,156.23168070953443,90.48829861111118,158.72926654740613,67705330,854268,82772096,106428.0,5.051340038283979,4.505220545231494,5.088969097812203,18.03067546447329,13.658000240870559,18.231601557725682,11.575223979164452,190.5964965345751
65,65,2022-01-14,0.0,180.5242128603105,95.60260416666668,157.80753130590332,68557114,857644,83210884,110509.0,5.19586491204695,4.560200059923447,5.2345368645410595,18.043177736852048,13.661944373952718,18.23688871454329,11.61285224458704,221.92154372592645
66,66,2022-01-15,1.0,163.3251219512195,85.10479166666659,152.72432915921283,69305598,860316,83589360,101315.0,5.0957428274047505,4.443883340300493,5.231689317414576,18.054036240118446,13.665055042599928,18.241426797227795,11.52598975429943,221.26217604605722
67,67,2022-01-16,1.0,120.70651441241672,72.70097222222222,179.10812164579616,70130650,864182,84007599,102107.0,4.793362098580912,4.286354757520512,4.870881944409284,18.065870488971495,13.669538673751134,18.246417817001657,11.533776562037675,151.70885846852005
